,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
41,F3900487,23/01/2024 10:13:14,BROWNS BAY AUCKLAND,00:14:53,East Coast Bays,7100: FALSE ALARM (STRU),Tuesday
42,F3900490,23/01/2024 10:15:29,REMUERA AUCKLAND,00:19:30,"Mount Wellington, Ellerslie",7100: FALSE ALARM (SPRNKLR),Tuesday
43,F3900502,23/01/2024 10:28:44,ROSEDALE AUCKLAND,00:09:30,"Takapuna, Albany",7100: FALSE ALARM (STRU),Tuesday
44,F3900504,23/01/2024 10:30:40,PENROSE AUCKLAND,00:19:14,"Remuera, Otahuhu",7100: FALSE ALARM (STRU),Tuesday
45,F3900516,23/01/2024 10:44:39,AUCKLAND CENTRAL AUCKLAND,00:13:18,"Grey Lynn, Parnell",7100: FALSE ALARM (SPRNKLR),Tuesday
46,F3900530,23/01/2024 10:59:42,AUCKLAND CENTRAL AUCKLAND,00:15:50,"Grey Lynn, Auckland City",7100: FALSE ALARM (SPRNKLR),Tuesday
47,F3900531,23/01/2024 11:00:32,FREEMANS BAY AUCKLAND,00:11:55,"Parnell, Remuera, Balmoral",7100: FALSE ALARM (STRU),Tuesday
48,F3900533,23/01/2024 10:59:49,RANGIRIRI WAIKATO DISTRICT,00:00:00,Te Kauwhata,1500: MISCELLANEOUS FIRE (MIN),Tuesday
49,F3900537,23/01/2024 11:01:21,WHAKAPARA WHANGAREI DISTRICT,00:00:00,Whangarei,1500: MISCELLANEOUS FIRE (VEG),Tuesday
50,F3900549,23/01/2024 11:16:46,ALBANY AUCKLAND,00:18:07,"East Coast Bays, Albany",7100: FALSE ALARM (STRU),Tuesday
51,F3900562,23/01/2024 11:33:41,WHAU VALLEY WHANGAREI DISTRICT,00:11:56,Whangarei,7100: FALSE ALARM (STRU),Tuesday
52,F3900565,23/01/2024 11:36:14,CLENDON PARK AUCKLAND,00:00:00,Manurewa,7100: FALSE ALARM (MED),Tuesday
53,F3900569,23/01/2024 11:52:18,OKAUIA MATAMATA-PIAKO DISTRICT,00:00:00,"Tirau, Putaruru, Matamata",1100: STRUCTURE FIRE (STRU),Tuesday
54,F3900570,23/01/2024 11:54:23,WAITAHANUI TAUPO DISTRICT,00:27:10,Taupo,7100: FALSE ALARM (STRU),Tuesday
55,F3900572,23/01/2024 12:00:16,WHAKATANE WHAKATANE DISTRICT,00:13:53,Whakatane,7100: FALSE ALARM (STRU),Tuesday
56,F3900586,23/01/2024 12:08:24,WAIWERA AUCKLAND,00:00:00,Silverdale,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Tuesday
57,F3900595,23/01/2024 12:19:24,HAMILTON CENTRAL HAMILTON CITY,00:00:00,"Hamilton, Chartwell",1500: MISCELLANEOUS FIRE (STRU),Tuesday
58,F3900602,23/01/2024 12:39:19,THAMES THAMES-COROMANDEL DISTRICT,00:11:33,Thames,7100: FALSE ALARM (STRU),Tuesday
59,F3900607,23/01/2024 12:44:03,MOUNT ALBERT AUCKLAND,00:00:00,"Avondale, Ellerslie, Balmoral, Grey Lynn, Auckland City, Otara, Te Atatu, Glen Eden, Parnell, Birkenhead, Saint Heliers","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZ)",Tuesday
60,F3900616,23/01/2024 12:54:52,WHENUAPAI AUCKLAND,00:14:31,"West Harbour, Te Atatu, Kumeu",7100: FALSE ALARM (STRU),Tuesday
61,F3900622,23/01/2024 13:04:44,PANMURE AUCKLAND,00:08:43,Mount Wellington,7100: FALSE ALARM (STRU),Tuesday
62,F3900650,23/01/2024 13:40:49,THAMES THAMES-COROMANDEL DISTRICT,00:15:47,Thames,7100: FALSE ALARM (STRU),Tuesday
63,F3900651,23/01/2024 13:42:17,ARIA WAITOMO DISTRICT,00:00:00,"Piopio, Te Kuiti, Benneydale",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Tuesday
64,F3900661,23/01/2024 13:47:55,TAKANINI AUCKLAND,00:00:00,"Papakura, Manurewa",7100: FALSE ALARM (STRU),Tuesday
65,F3900666,23/01/2024 13:54:00,TAURANGA SOUTH TAURANGA CITY,00:00:00,"Greerton, Tauranga",1500: MISCELLANEOUS FIRE (STRU),Tuesday
66,F3900677,23/01/2024 14:03:44,WIRI AUCKLAND,00:00:00,"Papatoetoe, Manurewa",7100: FALSE ALARM (STRU),Tuesday
67,F3900682,23/01/2024 14:13:32,MANGERE AUCKLAND,00:14:09,"Mangere, Onehunga",7100: FALSE ALARM (STRU),Tuesday
68,F3900685,23/01/2024 14:14:49,WAIPOUA FOREST KAIPARA DISTRICT,01:19:20,"Dargaville, Omapere",1300: VEGETATION FIRE (VEG),Tuesday
69,F3900689,23/01/2024 14:14:51,LEAMINGTON WAIPA DISTRICT,00:00:00,Cambridge,1500: MISCELLANEOUS FIRE (MIN),Tuesday
70,F3900693,23/01/2024 14:24:16,MOUNT ROSKILL AUCKLAND,00:00:00,Mount Roskill,1500: MISCELLANEOUS FIRE (MIN),Tuesday
71,F3900694,23/01/2024 14:23:39,NEWMARKET AUCKLAND,00:00:00,Remuera,7100: FALSE ALARM (MIN),Tuesday
72,F3900702,23/01/2024 14:43:49,WHENUAPAI AUCKLAND,00:14:39,West Harbour,7100: FALSE ALARM (STRU),Tuesday
73,F3900704,23/01/2024 14:44:09,AUCKLAND CENTRAL AUCKLAND,00:21:48,"Auckland City, Parnell, Takapuna",7100: FALSE ALARM (STRU),Tuesday
74,F3900721,23/01/2024 15:10:48,AUCKLAND CENTRAL AUCKLAND,00:17:52,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Tuesday
75,F3900725,23/01/2024 15:31:17,WHAKAMARAMA WESTERN BAY OF PLENTY DISTRICT,00:35:41,Omokoroa,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Tuesday
76,F3900727,23/01/2024 15:34:36,EDGECUMBE WHAKATANE DISTRICT,00:29:43,Edgecumbe,7100: FALSE ALARM (STRU),Tuesday
77,F3900735,23/01/2024 15:47:04,SOUTH HEAD AUCKLAND,00:00:00,"Helensville, Kaukapakapa (Under Construction)","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
78,F3900744,23/01/2024 16:04:33,REDVALE AUCKLAND,00:00:00,"East Coast Bays, Silverdale",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
79,F3900747,23/01/2024 16:10:13,PUKENUI FAR NORTH DISTRICT,00:00:00,Houhora,7100: FALSE ALARM (STRU),Tuesday
80,F3900749,23/01/2024 16:12:49,ROSEDALE AUCKLAND,00:19:45,"Albany, Takapuna",7100: FALSE ALARM (SPRNKLR),Tuesday
81,F3900750,23/01/2024 16:12:32,BURSWOOD AUCKLAND,00:00:00,Howick,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Tuesday
82,F3900753,23/01/2024 16:16:02,KOPU THAMES-COROMANDEL DISTRICT,00:00:00,Thames,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Tuesday
83,F3900762,23/01/2024 16:41:54,MANGONUI FAR NORTH DISTRICT,00:34:33,Mangonui,1200: MOBILE PROPERTY FIRE (MIN),Tuesday
84,F3900763,23/01/2024 16:42:56,SWANSON AUCKLAND,00:44:37,Henderson,1500: MISCELLANEOUS FIRE (MIN),Tuesday
85,F3900766,23/01/2024 16:45:31,MANGONUI FAR NORTH DISTRICT,00:17:23,Mangonui,1200: MOBILE PROPERTY FIRE (MIN),Tuesday
86,F3900768,23/01/2024 16:46:39,NGUNGURU WHANGAREI DISTRICT,00:00:00,Ngunguru,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Tuesday
87,F3900771,23/01/2024 16:50:54,KAMO WHANGAREI DISTRICT,00:00:00,Kamo,7100: FALSE ALARM (STRU),Tuesday
88,F3900773,23/01/2024 16:54:53,GLEN INNES AUCKLAND,00:16:14,"Mount Wellington, Remuera",7100: FALSE ALARM (STRU),Tuesday
89,F3900776,23/01/2024 17:08:14,WAITOA MATAMATA-PIAKO DISTRICT,00:47:12,Te Aroha,7100: FALSE ALARM (SPRNKLR),Tuesday
90,F3900780,23/01/2024 17:18:17,MANGERE AUCKLAND,00:00:00,Mangere,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
91,F3900781,23/01/2024 17:16:55,MOUNT ROSKILL AUCKLAND,00:00:00,"Mount Roskill, Auckland City","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Tuesday
92,F3900787,23/01/2024 17:29:32,TAKANINI AUCKLAND,00:14:22,Papakura,7100: FALSE ALARM (MIN),Tuesday
93,F3900790,23/01/2024 17:40:17,OTOROHANGA OTOROHANGA DISTRICT,00:00:00,Otorohanga,1100: STRUCTURE FIRE (STRU),Tuesday
94,F3900794,23/01/2024 18:01:22,WHENUAPAI AUCKLAND,00:00:00,West Harbour,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
95,F3900796,23/01/2024 18:03:13,MOUNT WELLINGTON AUCKLAND,00:00:00,"Otahuhu, Papatoetoe","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
96,F3900799,23/01/2024 18:06:41,TOKOROA SOUTH WAIKATO DISTRICT,00:00:00,Tokoroa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
97,F3900801,23/01/2024 18:10:43,AUCKLAND CENTRAL AUCKLAND,00:00:00,"Parnell, Takapuna","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Tuesday
98,F3900802,23/01/2024 18:14:23,MOUNT EDEN AUCKLAND,00:00:00,"Auckland City, Onehunga",1100: STRUCTURE FIRE (STRU),Tuesday
99,F3900803,23/01/2024 18:15:30,EPSOM AUCKLAND,00:27:52,"Remuera, Devonport",7100: FALSE ALARM (SPRNKLR),Tuesday
100,F3900806,23/01/2024 18:18:10,KERIKERI FAR NORTH DISTRICT,00:00:00,Kerikeri,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
101,F3900810,23/01/2024 18:23:07,WEST HARBOUR AUCKLAND,00:00:00,"West Harbour, Te Atatu, Henderson, Albany, Auckland City","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZ)",Tuesday
102,F3900811,23/01/2024 18:21:48,TITIRANGI AUCKLAND,00:00:00,Laingholm,"1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Tuesday
103,F3900812,23/01/2024 18:26:50,WHANGAREI WHANGAREI DISTRICT,00:00:00,Whangarei,1100: STRUCTURE FIRE (MIN),Tuesday
104,F3900813,23/01/2024 18:30:02,OMOKOROA WESTERN BAY OF PLENTY DISTRICT,00:00:00,Omokoroa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
105,F3900815,23/01/2024 18:31:23,OTAHUHU AUCKLAND,00:16:56,Otahuhu,7100: FALSE ALARM (STRU),Tuesday
106,F3900820,23/01/2024 18:45:41,DEVONPORT AUCKLAND,00:00:00,Devonport,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
107,F3900824,23/01/2024 18:58:39,POKENO WAIKATO DISTRICT,00:00:00,"Pokeno, Tuakau",1500: MISCELLANEOUS FIRE (STRU),Tuesday
108,F3900835,23/01/2024 19:19:31,MAUNGATAPU TAURANGA CITY,00:00:00,Greerton,1500: MISCELLANEOUS FIRE (MIN),Tuesday
109,F3900836,23/01/2024 19:20:19,GRAFTON AUCKLAND,00:13:36,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Tuesday
110,F3900849,23/01/2024 19:32:26,NAWTON HAMILTON CITY,00:00:00,Te Rapa,1300: VEGETATION FIRE (VEG),Tuesday
111,F3900860,23/01/2024 20:05:47,MOUNT WELLINGTON AUCKLAND,00:14:34,"Mount Wellington, Otahuhu",7100: FALSE ALARM (SPRNKLR),Tuesday
112,F3900861,23/01/2024 20:05:03,MANGERE EAST AUCKLAND,00:00:00,Mangere,1500: MISCELLANEOUS FIRE (MIN),Tuesday
113,F3900863,23/01/2024 20:08:00,NAWTON HAMILTON CITY,00:00:00,Te Rapa,1500: MISCELLANEOUS FIRE (MIN),Tuesday
114,F3900865,23/01/2024 20:22:52,SAINT ANDREWS HAMILTON CITY,00:00:00,Hamilton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
115,F3900870,23/01/2024 20:42:50,HAMILTON CENTRAL HAMILTON CITY,00:10:25,Hamilton,1500: MISCELLANEOUS FIRE (MIN),Tuesday
116,F3900871,23/01/2024 20:43:22,LONG BAY AUCKLAND,00:21:13,"East Coast Bays, Albany",7100: FALSE ALARM (SPRNKLR),Tuesday
117,F3900872,23/01/2024 20:49:06,TUAKAU WAIKATO DISTRICT,00:00:00,"Tuakau, Papakura",7100: FALSE ALARM (RESC),Tuesday
118,F3900875,23/01/2024 21:14:52,AUCKLAND CENTRAL AUCKLAND,00:12:42,"Auckland City, Parnell, Grey Lynn",7100: FALSE ALARM (STRU),Tuesday
119,F3900885,23/01/2024 21:45:53,MOUNT WELLINGTON AUCKLAND,00:22:09,"Otahuhu, Mount Wellington",7100: FALSE ALARM (SPRNKLR),Tuesday
120,F3900890,23/01/2024 22:07:34,WHAREPAPA SOUTH WAIPA DISTRICT,00:00:00,Putaruru,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
121,F3900891,23/01/2024 22:08:10,MANUREWA AUCKLAND,00:12:48,Manurewa,1500: MISCELLANEOUS FIRE (MIN),Tuesday
122,F3900892,23/01/2024 22:09:21,WAIPAPAKAURI FAR NORTH DISTRICT,01:04:41,Kaitaia,1200: MOBILE PROPERTY FIRE (VEG),Tuesday
123,F3900893,23/01/2024 22:13:31,FREEMANS BAY AUCKLAND,00:07:47,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Tuesday
124,F3900919,23/01/2024 22:53:27,MANGERE EAST AUCKLAND,00:00:00,Mangere,1500: MISCELLANEOUS FIRE (STRU),Tuesday
125,F3900923,23/01/2024 23:25:23,MASSEY AUCKLAND,00:22:52,"West Harbour, Henderson",7100: FALSE ALARM (STRU),Tuesday
126,F3900925,23/01/2024 23:30:05,PATUMAHOE AUCKLAND,00:21:51,Patumahoe,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
127,F3900937,23/01/2024 23:53:09,RUSSELL FAR NORTH DISTRICT,01:03:19,Russell,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
0,F3899659,22/01/2024 01:59:43,GORDONTON WAIKATO DISTRICT,00:00:00,"Morrinsville, Whitikahu, Ngaruawahia",1100: STRUCTURE FIRE (STRU),Monday
1,F3899667,22/01/2024 02:30:48,AUCKLAND CENTRAL AUCKLAND,00:20:41,"Parnell, Auckland City",1100: STRUCTURE FIRE (STRU),Monday
2,F3899674,22/01/2024 03:08:55,HILLCREST HAMILTON CITY,00:14:27,Hamilton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
3,F3899676,22/01/2024 03:26:23,AUCKLAND CENTRAL AUCKLAND,00:07:48,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Monday
4,F3899678,22/01/2024 03:31:13,HENDERSON AUCKLAND,00:00:00,"Henderson, Te Atatu","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Monday
5,F3899683,22/01/2024 03:55:52,MORRINSVILLE MATAMATA-PIAKO DISTRICT,00:00:00,Morrinsville,7100: FALSE ALARM (STRU),Monday
6,F3899684,22/01/2024 04:09:41,CAMBRIDGE WAIPA DISTRICT,00:00:00,Cambridge,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
7,F3899687,22/01/2024 04:27:15,AVONDALE AUCKLAND,05:42:32,"Avondale, Mount Roskill, Balmoral, Glen Eden, Te Atatu, Auckland City, Titirangi",1100: STRUCTURE FIRE (STRU),Monday
8,F3899688,22/01/2024 04:28:43,MOUNT ROSKILL AUCKLAND,00:00:00,Balmoral,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
9,F3899696,22/01/2024 05:13:22,NORTHCOTE AUCKLAND,00:12:58,"Takapuna, Birkenhead",7100: FALSE ALARM (STRU),Monday
10,F3899697,22/01/2024 05:12:46,KARAPIRO WAIPA DISTRICT,00:41:16,Cambridge,1200: MOBILE PROPERTY FIRE (VEG),Monday
11,F3899698,22/01/2024 05:31:07,MOUNT MAUNGANUI TAURANGA CITY,00:11:58,"Mount Maunganui, Tauranga",7100: FALSE ALARM (STRU),Monday
12,F3899700,22/01/2024 05:38:58,HUNTLY WAIKATO DISTRICT,00:48:47,Huntly,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Monday
13,F3899703,22/01/2024 05:43:45,AUCKLAND CENTRAL AUCKLAND,00:07:21,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Monday
14,F3899705,22/01/2024 05:47:53,ONEHUNGA AUCKLAND,00:00:00,"Onehunga, Ellerslie, Otahuhu, Remuera, Parnell, Mangere, Auckland City, Te Atatu, Papatoetoe, Mount Wellington, Avondale, Saint Heliers, Balmoral",1100: STRUCTURE FIRE (STRU),Monday
15,F3899707,22/01/2024 06:11:11,NEW LYNN AUCKLAND,00:00:00,"Glen Eden, Titirangi",7100: FALSE ALARM (STRU),Monday
16,F3899710,22/01/2024 06:29:51,GRAFTON AUCKLAND,00:14:47,Birkenhead,1500: MISCELLANEOUS FIRE (VEG),Monday
17,F3899712,22/01/2024 06:46:28,SOUTH HEAD AUCKLAND,00:00:00,Shelly Beach,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Monday
18,F3899713,22/01/2024 06:56:13,TE PUKE WESTERN BAY OF PLENTY DISTRICT,00:31:41,Te Puke,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
19,F3899714,22/01/2024 06:54:11,TAMAHERE WAIKATO DISTRICT,00:37:20,"Hamilton, Cambridge",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Monday
20,F3899730,22/01/2024 07:44:01,HILLCREST HAMILTON CITY,00:12:59,"Hamilton, Chartwell",7100: FALSE ALARM (STRU),Monday
21,F3899732,22/01/2024 07:51:26,PAPATOETOE AUCKLAND,00:14:28,Papatoetoe,7100: FALSE ALARM (STRU),Monday
22,F3899737,22/01/2024 07:59:34,SANDSPIT AUCKLAND,00:00:00,Mahurangi East,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Monday
23,F3899755,22/01/2024 08:22:26,PAPAMOA BEACH TAURANGA CITY,00:20:13,"Papamoa, Mount Maunganui",7100: FALSE ALARM (STRU),Monday
24,F3899756,22/01/2024 08:26:32,WELLSFORD AUCKLAND,00:36:10,Wellsford,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Monday
25,F3899778,22/01/2024 09:04:26,FORREST HILL AUCKLAND,00:00:00,Albany,1500: MISCELLANEOUS FIRE (MIN),Monday
26,F3899780,22/01/2024 09:06:54,NEWMARKET AUCKLAND,00:24:01,"Auckland City, Parnell, Grey Lynn",7100: FALSE ALARM (SPRNKLR),Monday
27,F3899796,22/01/2024 09:38:25,PAPATOETOE AUCKLAND,00:23:58,"Papatoetoe, Otara",7100: FALSE ALARM (SPRNKLR),Monday
28,F3899797,22/01/2024 09:38:35,RAGLAN WAIKATO DISTRICT,01:19:30,Raglan,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
29,F3899803,22/01/2024 09:45:04,MOUNT EDEN AUCKLAND,00:25:14,"Parnell, Auckland City, Grey Lynn",7100: FALSE ALARM (SPRNKLR),Monday
30,F3899813,22/01/2024 09:54:36,MOUNT MAUNGANUI TAURANGA CITY,00:23:16,"Mount Maunganui, Tauranga",7100: FALSE ALARM (STRU),Monday
31,F3899821,22/01/2024 10:03:39,OREWA AUCKLAND,00:21:43,Silverdale,7100: FALSE ALARM (SPRNKLR),Monday
32,F3899830,22/01/2024 10:15:40,PANMURE AUCKLAND,00:33:37,Mount Wellington,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
33,F3899853,22/01/2024 10:40:36,PUKEKOHE AUCKLAND,00:16:04,Pukekohe,7100: FALSE ALARM (MIN),Monday
34,F3899854,22/01/2024 10:43:51,FREEMANS BAY AUCKLAND,00:08:39,Auckland City,7100: FALSE ALARM (MIN),Monday
35,F3899866,22/01/2024 10:54:58,HILLCREST HAMILTON CITY,00:00:00,"Hamilton, Chartwell",7100: FALSE ALARM (STRU),Monday
36,F3899869,22/01/2024 11:00:48,MAHURANGI EAST AUCKLAND,00:51:36,"Mahurangi East, Warkworth","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Monday
37,F3899873,22/01/2024 11:05:52,HAKARU KAIPARA DISTRICT,00:00:00,Kaiwaka,7100: FALSE ALARM (MIN),Monday
38,F3899875,22/01/2024 11:04:55,TAURANGA SOUTH TAURANGA CITY,00:00:00,Greerton,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Monday
39,F3899877,22/01/2024 11:07:59,MOUNT ROSKILL AUCKLAND,00:16:58,"Mount Roskill, Balmoral",7100: FALSE ALARM (SPRNKLR),Monday
40,F3899879,22/01/2024 11:08:49,RANUI AUCKLAND,00:19:03,West Harbour,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
41,F3899882,22/01/2024 11:09:17,WATERVIEW AUCKLAND,00:10:42,Avondale,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
42,F3899883,22/01/2024 11:12:42,COCKLE BAY AUCKLAND,00:13:01,"Howick, Otara",7100: FALSE ALARM (STRU),Monday
43,F3899889,22/01/2024 11:20:32,PANMURE AUCKLAND,00:19:14,"Mount Wellington, Saint Heliers, Remuera",7100: FALSE ALARM (STRU),Monday
44,F3899891,22/01/2024 11:22:14,CHARTWELL HAMILTON CITY,00:25:28,"Te Rapa, Hamilton",7100: FALSE ALARM (SPRNKLR),Monday
45,F3899904,22/01/2024 11:46:51,THAMES THAMES-COROMANDEL DISTRICT,00:12:07,Thames,7100: FALSE ALARM (STRU),Monday
46,F3899905,22/01/2024 11:49:02,NEWMARKET AUCKLAND,00:16:46,"Auckland City, Parnell",7100: FALSE ALARM (STRU),Monday
47,F3899906,22/01/2024 11:49:22,FAVONA AUCKLAND,00:24:38,"Mangere, Papatoetoe",7100: FALSE ALARM (STRU),Monday
48,F3899908,22/01/2024 11:53:14,MOUNT WELLINGTON AUCKLAND,00:08:45,"Mount Wellington, Saint Heliers",7100: FALSE ALARM (STRU),Monday
49,F3899911,22/01/2024 11:59:59,AUCKLAND CENTRAL AUCKLAND,00:22:37,"Grey Lynn, Takapuna, Balmoral",7100: FALSE ALARM (STRU),Monday
50,F3899914,22/01/2024 12:04:10,AUCKLAND CENTRAL AUCKLAND,00:32:53,"Auckland City, Te Atatu, Mount Roskill, Parnell",7100: FALSE ALARM (STRU),Monday
51,F3899916,22/01/2024 12:08:55,AVONDALE AUCKLAND,00:11:40,Avondale,7100: FALSE ALARM (SPRNKLR),Monday
52,F3899929,22/01/2024 12:30:14,MOUNT MAUNGANUI TAURANGA CITY,00:00:00,Mount Maunganui,1500: MISCELLANEOUS FIRE (MIN),Monday
53,F3899934,22/01/2024 12:33:47,MURIWAI AUCKLAND,00:28:33,Helensville,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
54,F3899935,22/01/2024 12:34:45,AUCKLAND CENTRAL AUCKLAND,00:00:00,"Auckland City, Parnell","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Monday
55,F3899942,22/01/2024 12:50:52,KURATAU TAUPO DISTRICT,00:00:00,Southern Lakes,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Monday
56,F3899951,22/01/2024 13:06:48,WESTERN SPRINGS AUCKLAND,00:23:20,Grey Lynn,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
57,F3899965,22/01/2024 13:18:20,KAUKAPAKAPA AUCKLAND,00:00:00,"Helensville, Kaukapakapa (Under Construction), Silverdale","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Monday
58,F3899983,22/01/2024 13:50:15,PAPAKURA AUCKLAND,00:16:17,Papakura,1500: MISCELLANEOUS FIRE (MIN),Monday
59,F3899986,22/01/2024 14:01:25,PENROSE AUCKLAND,00:13:16,Ellerslie,7100: FALSE ALARM (STRU),Monday
60,F3899992,22/01/2024 14:08:45,BAYVIEW AUCKLAND,00:00:00,Takapuna,1500: MISCELLANEOUS FIRE (VEG),Monday
61,F3899995,22/01/2024 14:12:59,WESTMERE AUCKLAND,00:00:00,Grey Lynn,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
62,F3900004,22/01/2024 14:27:22,MANUKAU AUCKLAND,00:05:06,Papatoetoe,7100: FALSE ALARM (STRU),Monday
63,F3900015,22/01/2024 14:42:12,TAKAPUNA AUCKLAND,00:21:28,"Takapuna, Birkenhead",7100: FALSE ALARM (SPRNKLR),Monday
64,F3900017,22/01/2024 14:45:58,SWANSON AUCKLAND,00:00:00,Henderson,1300: VEGETATION FIRE (MIN),Monday
65,F3900041,22/01/2024 15:24:05,PAPATOETOE AUCKLAND,00:00:00,Papatoetoe,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
66,F3900042,22/01/2024 15:32:12,GLENBROOK AUCKLAND,00:00:00,Waiuku,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
67,F3900049,22/01/2024 15:36:45,PANMURE AUCKLAND,00:00:00,"Howick, Ellerslie, Auckland City, Mount Wellington, Otara",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (HAZ),Monday
68,F3900050,22/01/2024 15:37:46,KARAKA AUCKLAND,00:00:00,"Pukekohe, Papatoetoe","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Monday
69,F3900051,22/01/2024 15:40:56,KOUTU ROTORUA DISTRICT,00:12:06,Rotorua,7100: FALSE ALARM (SPRNKLR),Monday
70,F3900056,22/01/2024 15:55:10,GLEN INNES AUCKLAND,00:14:58,Saint Heliers,7100: FALSE ALARM (STRU),Monday
71,F3900061,22/01/2024 16:05:58,MOUNT EDEN AUCKLAND,00:14:31,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Monday
72,F3900064,22/01/2024 16:11:17,LANGS BEACH WHANGAREI DISTRICT,00:00:00,Waipu,"3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Monday
73,F3900073,22/01/2024 16:38:57,OTARA AUCKLAND,00:26:09,Papatoetoe,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Monday
74,F3900074,22/01/2024 16:40:58,NEW LYNN AUCKLAND,00:00:00,Glen Eden,1500: MISCELLANEOUS FIRE (MIN),Monday
75,F3900075,22/01/2024 16:41:34,SANDRINGHAM AUCKLAND,00:24:39,"Balmoral, Mount Roskill, Grey Lynn",7100: FALSE ALARM (STRU),Monday
76,F3900082,22/01/2024 16:52:05,LICHFIELD SOUTH WAIKATO DISTRICT,00:00:00,Putaruru,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Monday
77,F3900083,22/01/2024 16:51:58,MEADOWBANK AUCKLAND,00:00:00,"Remuera, Saint Heliers",1100: STRUCTURE FIRE (STRU),Monday
